Age,Gender,Year,Course,Branch,Bank_Account,Bank_Name,Demat_Account,Broker_Name,Trading_Segment,Income,Income_Source,Expenses,Track_Expenses,Budgeting_Knowledge,Savings
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Yes,No,282
20.0,Male,1st year,BA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,118
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,177
20.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Freelancing,less than 5k,Yes,No,4349
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,less than 5k,Yes,Yes,8197
18.0,Male,1st year,B.Tech,Aerospace,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,21
18.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,more than 30k,Others,more than 30k,No,No,1778
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,232
18.0,Male,1st year,B.Tech,Electrical,Yes,India post payments bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,1432
20.0,Female,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1479
18.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,more than 30k,Others,more than 30k,No,No,2131
20.0,Male,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,612
21.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,153
21.0,Female,3rd year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options;Mutual Funds;Commodity,10k to 30k,Freelancing,less than 5k,Yes,Yes,5254
23.0,Male,4th year,Other,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,345
22.0,Male,3rd year,B.Tech,Electrical,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,496
20.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Maybe,No,704
21.0,Male,3rd year,Other,Not Applicable,Yes,PNB,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,Yes,1066
19.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity,less than 10k,Family support,more than 30k,Yes,Yes,4
21.0,Male,2nd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options,less than 10k,Internship,less than 5k,No,No,470
20.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,63
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,1198
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Yes,No,256
21.0,Male,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,10k to 30k,Family support,less than 5k,Yes,Yes,0
20.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,No,3461
20.0,Female,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1176
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,less than 5k,Yes,Yes,7962
19.0,Male,1st year,B.Tech,Automobile,Yes,State Bank of India,Yes,Angle One,Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,Yes,0
23.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,434
19.0,Male,2nd year,B.Tech,Civil,Yes,ICICI Bank,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,829
21.0,Male,3rd year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,142
20.0,Male,3rd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Grow,Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,281
20.0,Male,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,193
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,10k to 30k,Part - Time Job,less than 5k,No,No,916
21.0,Male,1st year,Other,Not Applicable,Yes,Bank of Baroda ,No,Not Applicable,,more than 30k,Family support,more than 30k,No,Yes,394
18.0,Female,1st year,B.Tech,CSE,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
20.0,Male,2nd year,BBA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
21.0,Male,3rd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Futures & Options;Mutual Funds,less than 10k,Family support,less than 5k,No,No,58
20.0,Female,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,312
19.0,Male,1st year,B.Tech,CSE,Yes,BOB,Yes,Grow,Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,Yes,1159
20.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Angle One,Futures & Options,less than 10k,Family support,less than 5k,Yes,Yes,383
18.0,Male,1st year,B.Tech,Aerospace,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,97
19.0,Male,4th year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Part - Time Job,less than 5k,Yes,Yes,918
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
23.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,166
19.0,Male,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,349
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,163
20.0,Female,2nd year,B.Tech,CSE,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,394
22.0,Female,4th year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,852
19.0,Male,1st year,BA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,42
20.0,Male,3rd year,B.Tech,Automobile,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Internship,less than 5k,Yes,Yes,1151
18.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
21.0,Male,2nd year,BBA,Not Applicable,Yes,BOB,Yes,Zerodha,Equity;Futures & Options,10k to 30k,Freelancing,less than 5k,Yes,Yes,3950
24.0,Male,2nd year,BBA,Not Applicable,Yes,yes bank,Yes,Angle One,Futures & Options;Mutual Funds,10k to 30k,Internship,less than 5k,Yes,Yes,0
19.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,58
22.0,Male,3rd year,B.Tech,Automobile,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,223
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10294
18.0,Male,1st year,B.Tech,Aerospace,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,439
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,241
20.0,Male,2nd year,B.Com,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,294
18.0,Male,1st year,B.Tech,CSE,Yes,Bank of Baroda ,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,121
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,175
21.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Grow,Futures & Options,less than 10k,Family support,less than 5k,Yes,Yes,0
19.0,Female,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,9896
21.0,Male,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Zerodha,Futures & Options,10k to 30k,Family support,less than 5k,No,No,432
22.0,Male,3rd year,B.Tech,Mechanical,Yes,Yes Bank,No,Not Applicable,,less than 10k,Others,less than 5k,Yes,No,199
23.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,171
20.0,Female,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,192
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Yes,No,374
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity;Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,No,0
19.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1049
20.0,Male,1st year,B.Tech,Civil,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,49
21.0,Male,3rd year,BBA,Not Applicable,Yes,ICICI Bank,Yes,Grow,Mutual Funds,less than 10k,Internship,5k to 15k,Yes,Yes,2217
21.0,Male,3rd year,BBA,Not Applicable,Yes,ICICI Bank,Yes,Grow,Mutual Funds,less than 10k,Internship,5k to 15k,Yes,Yes,2223
19.0,Female,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Family support,5k to 15k,Yes,No,407
20.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Grow,Futures & Options,less than 10k,Family support,less than 5k,Yes,No,790
19.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,375
19.0,Male,1st year,B.Tech,Automobile,Yes,State Bank of India,Yes,Angle One,Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,Yes,385
22.0,Male,3rd year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,1024
20.0,Male,2nd year,B.Tech,Mechanical,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,859
21.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,143
19.0,Male,2nd year,BBA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,229
19.0,Male,1st year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,2459
19.0,Male,1st year,B.Tech,Aerospace,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,10k to 30k,Part - Time Job,less than 5k,No,No,634
22.0,Male,3rd year,B.Com,Not Applicable,Yes,ICICI Bank,Yes,Angle One,Equity,10k to 30k,Part - Time Job,less than 5k,No,No,4848
21.0,Male,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,246
21.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Mutual Funds;Commodity,more than 30k,Freelancing,15k to 30k,Yes,Yes,5985
18.0,Male,1st year,B.Tech,Aerospace,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,460
20.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,395
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,133
21.0,Male,3rd year,BBA,Not Applicable,Yes,ICICI Bank,Yes,Grow,Mutual Funds,less than 10k,Internship,5k to 15k,Yes,Yes,1910
19.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,122
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Freelancing,less than 5k,No,Yes,265
20.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Yes,No,874
20.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,280
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,1262
20.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Angle One,Equity;Futures & Options;Commodity,10k to 30k,Internship,5k to 15k,Yes,No,4162
19.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity,less than 10k,Family support,more than 30k,Yes,Yes,304
21.0,Male,3rd year,B.Tech,Automobile,Yes,HDFC Bank,Yes,Zerodha,Futures & Options;Mutual Funds;Commodity,10k to 30k,Internship,less than 5k,Yes,No,7167
19.0,Male,3rd year,B.Tech,CSE,Yes,IPPB,No,Not Applicable,,less than 10k,Others,15k to 30k,No,Yes,97
23.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,11
19.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,more than 30k,Family support,5k to 15k,Yes,Yes,2113
21.0,Male,2nd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options,less than 10k,Internship,less than 5k,No,No,298
20.0,Male,1st year,B.Tech,Electrical,Yes,Canara ,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,1422
22.0,Male,3rd year,B.Com,Not Applicable,Yes,ICICI Bank,Yes,Angle One,Equity,10k to 30k,Part - Time Job,less than 5k,No,No,4893
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,less than 5k,Yes,Yes,8183
18.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
21.0,Male,1st year,Other,Not Applicable,Yes,HDFC Bank,Yes,Paytm Money,Equity;Mutual Funds,10k to 30k,Family support,5k to 15k,Yes,Yes,5464
22.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity,10k to 30k,Family support,less than 5k,Maybe,Yes,0
20.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Others,less than 5k,Yes,Yes,846
20.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Others,less than 5k,Yes,Yes,1057
19.0,Female,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,343
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
23.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,199
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10186
22.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Yes,Yes,368
20.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,693
20.0,Female,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,315
20.0,Male,1st year,BA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,328
24.0,Male,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Futures & Options;Mutual Funds,10k to 30k,Startup,5k to 15k,No,No,2424
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Angle One,Equity;Futures & Options;Commodity,10k to 30k,Internship,5k to 15k,Yes,No,3720
21.0,Male,3rd year,Other,Not Applicable,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Internship,5k to 15k,Yes,Yes,3275
18.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Others,less than 10k,Others,less than 5k,No,Yes,357
21.0,Male,3rd year,BBA,Not Applicable,Yes,ICICI Bank,Yes,Grow,Mutual Funds,less than 10k,Internship,5k to 15k,Yes,Yes,2471
19.0,Male,1st year,B.Tech,Electrical,Yes,PNB,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,509
19.0,Male,3rd year,B.Tech,CSE,Yes,IPPB,No,Not Applicable,,less than 10k,Others,15k to 30k,No,Yes,0
19.0,Female,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Family support,5k to 15k,Yes,No,0
19.0,Male,1st year,B.Tech,Civil,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,295
21.0,Female,3rd year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options;Mutual Funds;Commodity,10k to 30k,Freelancing,less than 5k,Yes,Yes,5189
22.0,Male,4th year,B.Tech,CSE,Yes,Canara ,Yes,Grow,Others,less than 10k,Family support,less than 5k,Yes,Yes,0
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,205
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,10k to 30k,Part - Time Job,less than 5k,Yes,No,2220
23.0,Male,3rd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Futures & Options;Mutual Funds,less than 10k,Part - Time Job,less than 5k,Maybe,Yes,990
22.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,5442
22.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,747
18.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Others,less than 10k,Others,less than 5k,No,Yes,133
20.0,Male,1st year,B.Tech,Electrical,Yes,Canara ,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,1029
20.0,Male,2nd year,B.Com,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,255
20.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Grow,Futures & Options,less than 10k,Family support,less than 5k,Yes,No,968
21.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,10k to 30k,Family support,less than 5k,Yes,Yes,606
20.0,Male,2nd year,B.Tech,Mechanical,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,871
21.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,10k to 30k,Family support,less than 5k,Yes,Yes,759
20.0,Male,2nd year,B.Tech,Civil,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Freelancing,less than 5k,Yes,Yes,2106
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,9811
20.0,Male,1st year,B.Tech,Electrical,Yes,Canara ,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,1118
19.0,Male,2nd year,B.Tech,Civil,Yes,ICICI Bank,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,1413
20.0,Male,1st year,B.Tech,Civil,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,195
20.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Yes,Yes,334
20.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Maybe,No,460
22.0,Male,3rd year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,569
20.0,Male,1st year,B.Tech,Electrical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,286
19.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
21.0,Male,2nd year,B.Tech,Automobile,Yes,BOB,Yes,Grow,Futures & Options,less than 10k,Part - Time Job,less than 5k,Yes,No,333
26.0,Male,4th year,BBA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,190
