"Timestamp","Age","Gender","Year of study","Course/Program","Branch","Do you have bank Account","Name of bank where you have account","Do you have DEMAT/Trading Account?","Name of your broker where you have DEMAT account","If you have DEMAT account then in which segment you trade?","What is monthly income ?","Tell your source of income ","What is your monthly expenses?","  Do you track your expenses?  ","  Do you understand the concept of budgeting?  ","What is your average monthly Savings?"
"2026/04/18 10:10:53 pm GMT+5:30","19","Male","1st year","B.Tech","Electrical","Yes","Punjab National Bank ","Yes","Zerodha","Mutual Funds","less than 10k","Family support","less than 5k","Maybe","Yes","0"
"2026/04/18 10:12:37 pm GMT+5:30","19","Male","1st year","B.Tech","Electrical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","100"
"2026/04/18 10:15:06 pm GMT+5:30","24","Male","1st year","Other","","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options;Mutual Funds;Commodity","less than 10k","Family support","5k to 15k","Yes","Yes","0"
"2026/04/18 10:18:21 pm GMT+5:30","22","Male","1st year","Other","","Yes","Bank of india","No","","","more than 30k","Family support","5k to 15k","Yes","Yes","2000"
"2026/04/18 10:19:57 pm GMT+5:30","20","Male","1st year","B.Tech","Mechanical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","200"
"2026/04/18 10:20:29 pm GMT+5:30","69","Female","4th year","Other","","No","","","","","more than 30k","Others","more than 30k","Maybe","No","6969696969"
"2026/04/18 10:21:19 pm GMT+5:30","18","Male","1st year","B.Tech","Mechanical","Yes","Kotak 811","Yes","Kotak neo","Equity;Futures & Options;Mutual Funds;Commodity","10k to 30k","Family support","5k to 15k","Yes","Yes","2000"
"2026/04/18 10:22:43 pm GMT+5:30","18","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/18 10:22:50 pm GMT+5:30","21","Male","1st year","Other","","Yes","Bank of Baroda ","No","","","more than 30k","Family support","more than 30k","No","Yes","0"
"2026/04/18 10:23:49 pm GMT+5:30","18","Male","1st year","B.Tech","Electrical","Yes","HDFC Bank","No","","","less than 10k","Family support","5k to 15k","No","No","0"
"2026/04/18 10:26:58 pm GMT+5:30","18","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/18 10:39:54 pm GMT+5:30","22","Male","1st year","Other","","Yes","Canara Bank ","Yes","Grow","Others","less than 10k","Family support","less than 5k","Yes","Yes","3000"
"2026/04/18 10:44:16 pm GMT+5:30","21","Female","3rd year","B.Com","","Yes","State Bank of India","Yes","Zerodha","Futures & Options;Mutual Funds;Commodity","10k to 30k","Freelancing","less than 5k","Yes","Yes","5000"
"2026/04/18 10:45:15 pm GMT+5:30","21","Female","3rd year","BBA","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Maybe","No","300"
"2026/04/18 10:46:16 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","1000"
"2026/04/18 11:55:22 pm GMT+5:30","19","Male","3rd year","B.Tech","CSE","Yes","IPPB","No","","","less than 10k","Others","15k to 30k","No","Yes","0"
"2026/04/19 8:01:40 am GMT+5:30","20","Male","2nd year","B.Tech","Mechanical","Yes","BOB","No","","","less than 10k","Family support","less than 5k","Yes","No","500"
"2026/04/19 8:02:44 am GMT+5:30","22","Male","4th year","B.Tech","CSE","Yes","Yes Bank","Yes","Grow","Equity;Futures & Options","10k to 30k","Freelancing","5k to 15k","No","No","1000"
"2026/04/19 8:06:12 am GMT+5:30","19","Male","1st year","B.Tech","Aerospace","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 8:06:53 am GMT+5:30","19","Male","1st year","B.Tech","Aerospace","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 8:07:43 am GMT+5:30","20","Male","1st year","B.Tech","Aerospace","Yes","Jk bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","200"
"2026/04/19 8:09:06 am GMT+5:30","20","Male","2nd year","B.Tech","Civil","Yes","HDFC Bank","Yes","Angle One","Equity;Futures & Options;Mutual Funds","less than 10k","Freelancing","less than 5k","Yes","Yes","2000"
"2026/04/19 8:10:41 am GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Part - Time Job","less than 5k","Yes","Yes","500"
"2026/04/19 8:13:16 am GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Internship","less than 5k","Maybe","No","500"
"2026/04/19 8:25:50 am GMT+5:30","20","Male","1st year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 8:26:28 am GMT+5:30","19","Male","1st year","B.Com","","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 8:27:23 am GMT+5:30","19","Male","1st year","B.Tech","Civil","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 8:28:38 am GMT+5:30","20","Female","2nd year","B.Tech","Civil","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 8:29:20 am GMT+5:30","21","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 8:30:09 am GMT+5:30","22","Female","4th year","B.Tech","CSE","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Yes","No","1000"
"2026/04/19 8:33:23 am GMT+5:30","19","Male","1st year","B.Com","","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options;Mutual Funds","10k to 30k","Part - Time Job","less than 5k","Yes","Yes","2000"
"2026/04/19 8:34:33 am GMT+5:30","19","Male","4th year","BA","","Yes","State Bank of India","Yes","Angle One","Equity;Futures & Options;Mutual Funds","less than 10k","Part - Time Job","less than 5k","Yes","Yes","1000"
"2026/04/19 8:35:53 am GMT+5:30","20","Female","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 8:59:20 am GMT+5:30","23","Male","4th year","Other","","Yes","State Bank of India","Yes","Zerodha","Futures & Options","10k to 30k","Part - Time Job","less than 5k","Yes","Yes","10"
"2026/04/19 9:01:12 am GMT+5:30","21","Male","4th year","B.Tech","CSE","Yes","State Bank of India","No","","","10k to 30k","Family support","15k to 30k","No","No","10"
"2026/04/19 9:01:15 am GMT+5:30","21","Male","4th year","B.Tech","CSE","Yes","HDFC Bank","Yes","Zerodha","Equity;Mutual Funds","10k to 30k","Family support","15k to 30k","No","Yes","0"
"2026/04/19 9:01:29 am GMT+5:30","22","Male","1st year","Other","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","800"
"2026/04/19 9:03:24 am GMT+5:30","21","Male","1st year","Other","","Yes","HDFC Bank","Yes","Paytm Money","Equity;Mutual Funds","10k to 30k","Family support","5k to 15k","Yes","Yes","5000"
"2026/04/19 9:04:05 am GMT+5:30","24","Male","1st year","Other","","Yes","State Bank of India","No","","","10k to 30k","Family support","5k to 15k","Yes","Yes","3000"
"2026/04/19 9:04:26 am GMT+5:30","21","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 9:04:28 am GMT+5:30","18","Male","1st year","B.Tech","CSE","Yes","Bank of Baroda ","No","","","less than 10k","Family support","less than 5k","No","No","20"
"2026/04/19 9:04:29 am GMT+5:30","21","Male","3rd year","Other","","Yes","PNB","No","","","less than 10k","Family support","5k to 15k","Yes","Yes","1000"
"2026/04/19 9:04:55 am GMT+5:30","17","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","Yes","001"
"2026/04/19 9:05:34 am GMT+5:30","22","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 9:05:54 am GMT+5:30","20","Male","3rd year","B.Tech","CSE","No","","","","","10k to 30k","Others","5k to 15k","No","Yes","2000"
"2026/04/19 9:07:48 am GMT+5:30","20","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Freelancing","less than 5k","No","Yes","00"
"2026/04/19 9:09:22 am GMT+5:30","20","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","500"
"2026/04/19 9:10:46 am GMT+5:30","21","Male","4th year","B.Tech","Electrical","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 9:17:43 am GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 9:52:40 am GMT+5:30","20","Male","1st year","BA","","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 9:53:24 am GMT+5:30","20","Female","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 9:56:55 am GMT+5:30","21","Male","3rd year","Other","","Yes","HDFC Bank","No","","","10k to 30k","Internship","5k to 15k","Yes","Yes","3000"
"2026/04/19 9:57:33 am GMT+5:30","21","Male","1st year","BA","","Yes","ICICI Bank","Yes","Upstox","Equity;Futures & Options;Mutual Funds","10k to 30k","Part - Time Job","less than 5k","Maybe","No","5000"
"2026/04/19 9:58:10 am GMT+5:30","19","Male","1st year","B.Tech","Mechanical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","500"
"2026/04/19 9:58:50 am GMT+5:30","20","Male","1st year","B.Tech","Civil","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 11:31:58 am GMT+5:30","19","Male","1st year","B.Tech","CSE","Yes","BOB","Yes","Grow","Mutual Funds;Commodity","less than 10k","Family support","less than 5k","Yes","Yes","1000"
"2026/04/19 11:32:42 am GMT+5:30","19","Male","1st year","B.Tech","Automobile","Yes","State Bank of India","Yes","Angle One","Futures & Options;Mutual Funds;Commodity","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 11:33:11 am GMT+5:30","18","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:33:54 am GMT+5:30","20","Male","3rd year","B.Tech","Automobile","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options;Mutual Funds","10k to 30k","Internship","less than 5k","Yes","Yes","1000"
"2026/04/19 11:34:37 am GMT+5:30","21","Male","4th year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options","more than 30k","Internship","5k to 15k","Yes","Yes","20000"
"2026/04/19 11:35:20 am GMT+5:30","22","Female","4th year","B.Tech","CSE","Yes","HDFC Bank","Yes","Grow","Equity;Futures & Options;Mutual Funds","more than 30k","Internship","15k to 30k","Yes","Yes","25000"
"2026/04/19 11:35:57 am GMT+5:30","23","Male","4th year","B.Com","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 11:36:40 am GMT+5:30","24","Male","2nd year","BBA","","Yes","yes bank","Yes","Angle One","Futures & Options;Mutual Funds","10k to 30k","Internship","less than 5k","Yes","Yes","0"
"2026/04/19 11:37:16 am GMT+5:30","21","Male","3rd year","B.Tech","Mechanical","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:37:49 am GMT+5:30","19","Male","1st year","B.Tech","Aerospace","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:38:26 am GMT+5:30","17","Male","1st year","B.Tech","Electrical","No","","","","","less than 10k","Family support","less than 5k","No","No","98"
"2026/04/19 11:39:02 am GMT+5:30","18","Male","1st year","B.Tech","Aerospace","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:39:37 am GMT+5:30","18","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:53:47 am GMT+5:30","20","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","No","No","3000"
"2026/04/19 11:55:27 am GMT+5:30","17","Female","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 11:56:26 am GMT+5:30","19","Male","2nd year","B.Tech","Civil","Yes","ICICI Bank","Yes","Grow","Equity;Futures & Options;Mutual Funds","10k to 30k","Part - Time Job","less than 5k","Yes","Yes","1000"
"2026/04/19 11:57:18 am GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","No","","","10k to 30k","Part - Time Job","less than 5k","Yes","No","2000"
"2026/04/19 11:57:59 am GMT+5:30","21","Male","3rd year","BBA","","Yes","ICICI Bank","Yes","Grow","Mutual Funds","less than 10k","Internship","5k to 15k","Yes","Yes","2000"
"2026/04/19 11:59:29 am GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Grow","Equity;Mutual Funds","less than 10k","Part - Time Job","less than 5k","Yes","Yes","3456"
"2026/04/19 12:01:18 pm GMT+5:30","18","Male","1st year","B.Tech","Civil","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 12:01:55 pm GMT+5:30","18","Female","1st year","B.Tech","CSE","Yes","BOB","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 12:02:48 pm GMT+5:30","24","Male","4th year","BA","","Yes","ICICI Bank","Yes","Angle One","Futures & Options;Commodity","more than 30k","Freelancing","15k to 30k","Yes","Yes","20000"
"2026/04/19 12:03:23 pm GMT+5:30","26","Male","4th year","BBA","","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 12:04:29 pm GMT+5:30","24","Male","4th year","B.Tech","Automobile","Yes","HDFC Bank","Yes","Upstox","Commodity;Others","less than 10k","Part - Time Job","less than 5k","Yes","Yes","1000"
"2026/04/19 12:05:16 pm GMT+5:30","24","Female","4th year","B.Tech","CSE","Yes","State Bank of India","Yes","Zerodha","Equity;Futures & Options","10k to 30k","Internship","5k to 15k","Yes","Yes","5000"
"2026/04/19 12:06:02 pm GMT+5:30","23","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","Yes","Angle One","Futures & Options;Mutual Funds","10k to 30k","Part - Time Job","less than 5k","Yes","Yes","10000"
"2026/04/19 12:08:31 pm GMT+5:30","22","Female","3rd year","B.Tech","CSE","Yes","State Bank of India","Yes","Zerodha","Equity","10k to 30k","Family support","less than 5k","Maybe","Yes","0"
"2026/04/19 12:09:15 pm GMT+5:30","20","Male","2nd year","BA","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 12:09:52 pm GMT+5:30","20","Male","1st year","B.Tech","CSE","Yes","State Bank of India","Yes","Zerodha","Others","less than 10k","Family support","less than 5k","Maybe","No","4"
"2026/04/19 12:10:26 pm GMT+5:30","19","Female","1st year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:13:07 pm GMT+5:30","18","Male","1st year","B.Tech","Electrical","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:13:41 pm GMT+5:30","18","Male","1st year","B.Tech","Mechanical","No","","","","","less than 10k","Family support","less than 5k","No","No","0 "
"2026/04/19 12:14:12 pm GMT+5:30","17","Male","1st year","B.Tech","Mechanical","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:14:45 pm GMT+5:30","18","Male","1st year","B.Tech","Aerospace","No","","","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 12:15:13 pm GMT+5:30","19","Male","2nd year","B.Com","","No","","","","","less than 10k","Family support","less than 5k","No","No","9"
"2026/04/19 12:15:45 pm GMT+5:30","19","Male","1st year","B.Tech","Mechanical","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Maybe","No","67"
"2026/04/19 12:17:50 pm GMT+5:30","20","Female","2nd year","B.Tech","Electrical","Yes","State Bank of India","Yes","Upstox","Equity;Futures & Options","10k to 30k","Part - Time Job","less than 5k","Maybe","Yes","2000"
"2026/04/19 12:18:34 pm GMT+5:30","19","Female","1st year","B.Tech","CSE","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","No","No","0 "
"2026/04/19 12:19:04 pm GMT+5:30","19","Male","1st year","BA","","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 12:23:21 pm GMT+5:30","20","Male","2nd year","B.Com","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","45"
"2026/04/19 12:24:04 pm GMT+5:30","23","Male","4th year","B.Tech","Mechanical","Yes","State Bank of India","Yes","Zerodha","Commodity","10k to 30k","Part - Time Job","less than 5k","No","Yes","8000"
"2026/04/19 12:25:47 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","Yes","Angle One","Equity;Futures & Options;Commodity","10k to 30k","Internship","5k to 15k","Yes","No","3678"
"2026/04/19 12:26:31 pm GMT+5:30","21","Male","2nd year","BA","","Yes","State Bank of India","Yes","Zerodha","Mutual Funds;Commodity","more than 30k","Freelancing","15k to 30k","Yes","Yes","5900"
"2026/04/19 12:27:29 pm GMT+5:30","21","Male","3rd year","B.Tech","Automobile","Yes","HDFC Bank","Yes","Zerodha","Futures & Options;Mutual Funds;Commodity","10k to 30k","Internship","less than 5k","Yes","No","6890"
"2026/04/19 12:28:19 pm GMT+5:30","21","Male","2nd year","B.Tech","Aerospace","Yes","ICICI Bank","Yes","Upstox","Equity;Futures & Options;Mutual Funds","10k to 30k","Internship","less than 5k","No","No","3000"
"2026/04/19 12:29:02 pm GMT+5:30","24","Male","4th year","B.Com","","Yes","State Bank of India","Yes","Zerodha","Equity;Futures & Options;Mutual Funds;Commodity","10k to 30k","Part - Time Job","less than 5k","Yes","No","10000"
"2026/04/19 12:29:48 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","IPPB","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 12:30:20 pm GMT+5:30","18","Female","1st year","B.Tech","CSE","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 12:31:08 pm GMT+5:30","20","Female","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:32:18 pm GMT+5:30","18","Female","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:33:00 pm GMT+5:30","20","Male","2nd year","BBA","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","Yes","1000"
"2026/04/19 12:34:28 pm GMT+5:30","20","Male","2nd year","B.Tech","Automobile","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","1000"
"2026/04/19 12:35:35 pm GMT+5:30","19","Female","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:37:07 pm GMT+5:30","24","Female","4th year","B.Tech","CSE","Yes","State Bank of India","Yes","Zerodha","Equity;Futures & Options;Mutual Funds","10k to 30k","Internship","less than 5k","Yes","Yes","5000"
"2026/04/19 12:38:37 pm GMT+5:30","23","Female","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 12:39:27 pm GMT+5:30","19","Female","1st year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 12:40:29 pm GMT+5:30","19","Male","2nd year","BBA","","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 12:41:36 pm GMT+5:30","21","Male","3rd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Zerodha","Equity;Futures & Options;Mutual Funds","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 12:42:41 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","BOB","Yes","Angle One","Equity;Futures & Options","less than 10k","Family support","less than 5k","Yes","No","500"
"2026/04/19 12:43:42 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","500"
"2026/04/19 12:44:16 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","800"
"2026/04/19 12:45:08 pm GMT+5:30","18","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","400"
"2026/04/19 12:49:37 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","BOB","No","","","less than 10k","Family support","less than 5k","No","Yes","500"
"2026/04/19 12:50:38 pm GMT+5:30","21","Male","3rd year","B.Tech","Automobile","Yes","State Bank of India","No","","","less than 10k","Startup","less than 5k","Yes","Yes","1000"
"2026/04/19 12:52:26 pm GMT+5:30","22","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","10k to 30k","Family support","less than 5k","Yes","No","500"
"2026/04/19 12:53:07 pm GMT+5:30","21","Male","2nd year","B.Tech","Aerospace","Yes","Yes bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","800"
"2026/04/19 12:54:04 pm GMT+5:30","24","Male","4th year","B.Tech","CSE","Yes","HDFC Bank","Yes","Zerodha","Equity;Futures & Options;Mutual Funds","10k to 30k","Startup","5k to 15k","No","No","2000"
"2026/04/19 12:55:17 pm GMT+5:30","22","Male","3rd year","B.Tech","CSE","Yes","Yes bank","Yes","Angle One","Equity;Futures & Options;Commodity","10k to 30k","Freelancing","less than 5k","Yes","Yes","1000"
"2026/04/19 12:55:53 pm GMT+5:30","22","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","Yes","Yes","500"
"2026/04/19 12:56:53 pm GMT+5:30","23","Male","3rd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Angle One","Futures & Options;Mutual Funds","less than 10k","Part - Time Job","less than 5k","Maybe","Yes","600"
"2026/04/19 12:57:46 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","600"
"2026/04/19 12:59:04 pm GMT+5:30","20","Male","2nd year","B.Tech","Civil","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","Maybe","Yes","600"
